-64,2,1
-63,2,2
-64,1,2
-65,0,1
-64,1,1
-63,1,1
-64,2,1
-64,2,2
-64,2,1
-64,0,-1
-70,-1,-5
-72,-3,-6
-69,-5,-3
-61,-6,2
-65,-3,-4
-67,-8,-11
-62,-10,-6
-63,-8,-4
-69,-8,-9
-60,-11,-9
-56,-11,-5
-58,-9,-4
-58,-11,-1
-55,-11,1
-58,-6,-1
-67,-4,-5
-60,-4,-2
-54,-4,2
-55,-2,3
-58,4,8
-53,2,10
-43,4,13
-46,7,16
-63,14,27
-66,17,32
-77,19,28
-74,14,29
-71,13,27
-65,10,22
-61,10,20
-57,11,17
-57,12,17
-60,14,16
-63,16,17
-63,16,18
-62,14,19
-60,14,19
-59,13,18
-61,12,17
-63,13,16
-61,13,17
-62,15,16
-62,16,15
-61,15,16
-59,17,14
-63,16,11
-60,15,16
-61,14,10
-62,12,10
-63,13,12
-63,13,11
-63,13,11
-64,14,10
-66,16,7
-66,15,7
-58,13,11
-57,13,11
-63,13,10
-66,15,13
-65,16,11
-60,15,9
-59,15,10
-60,15,12
-63,15,11
-64,14,10
-61,14,13
-63,14,10
-63,14,11
-62,13,13
-62,13,11
-62,14,11
-60,14,13
-62,15,11
-61,17,12
-58,14,19
-60,15,13
-61,10,8
-65,12,11
-65,11,10
-64,13,12
-62,13,11
-60,15,8
-61,14,6
-64,17,12
-62,17,12
-61,16,13
-60,15,13
-62,16,11
-61,16,13
-61,16,11
-62,16,11
-61,16,13
-61,15,11
-62,15,9
-61,15,12
-62,15,11
-61,15,11
-61,15,12
-62,16,12
-61,15,10
-62,15,11
-62,16,13
-62,14,12
-61,15,12
-62,14,11
-63,15,11
-62,15,11
-61,15,11
-62,15,10
-62,15,12
-62,15,12
-62,15,11
-61,15,12
-62,15,11
-62,15,11
-62,15,11
-62,15,11
-62,15,10
-62,15,12
-61,15,12
-62,15,11
-62,15,11
-61,15,11
-62,15,12
-61,14,12
-62,15,11
-62,15,11
-62,15,11
-62,15,11
-62,14,12
-63,15,11
-62,15,12
-62,15,11
-62,15,11
-62,15,12
-62,15,11
-62,15,11
-61,15,12
-63,15,11
-62,15,12
