9,-49,38
10,-49,38
9,-49,37
9,-48,37
11,-49,38
12,-49,38
13,-48,39
10,-48,38
11,-48,38
11,-48,38
12,-48,38
12,-48,37
12,-48,37
13,-48,37
12,-49,37
12,-48,37
12,-48,38
13,-48,38
13,-48,37
12,-48,37
11,-49,37
12,-49,38
13,-48,38
11,-48,37
12,-48,38
13,-48,38
12,-48,38
11,-48,39
10,-48,38
9,-48,38
10,-48,39
11,-48,39
10,-48,38
12,-48,39
11,-48,38
11,-48,38
11,-48,38
11,-48,38
11,-48,38
11,-48,38
11,-48,38
11,-48,38
11,-48,38
12,-48,38
12,-47,38
12,-48,38
12,-48,38
12,-48,38
12,-48,37
11,-47,38
12,-47,38
12,-48,39
11,-47,39
11,-46,40
12,-47,40
13,-46,41
12,-46,40
13,-46,39
13,-46,39
10,-46,39
13,-46,40
13,-45,39
12,-45,40
14,-45,41
17,-45,43
18,-45,42
14,-45,42
11,-45,38
12,-46,39
15,-46,40
14,-46,39
14,-46,39
14,-45,40
15,-45,40
14,-45,40
13,-45,41
16,-46,46
14,-45,44
5,-44,38
3,-43,42
7,-44,45
8,-45,42
4,-44,42
5,-44,44
4,-44,44
3,-44,44
4,-44,44
6,-44,46
3,-44,45
0,-44,45
-1,-44,42
-1,-44,42
2,-43,45
1,-43,44
3,-44,46
0,-43,43
-1,-43,43
3,-43,45
3,-44,45
0,-43,44
6,-44,47
5,-44,47
-2,-43,43
-3,-43,43
3,-43,52
0,-41,50
-9,-42,43
-6,-42,49
-8,-42,48
-9,-40,48
-10,-40,48
-20,-43,47
-19,-43,44
-13,-43,42
-11,-46,38
-14,-48,31
-11,-52,29
-3,-52,36
-6,-47,36
-9,-45,33
3,-47,51
-8,-41,49
-17,-44,44
-12,-42,51
-11,-42,49
-12,-45,45
-20,-47,41
-22,-48,41
-18,-49,34
-13,-49,31
-3,-51,31
-2,-51,33
-5,-52,27
-2,-53,29
1,-52,26
1,-52,24
3,-52,25
21,-52,35
15,-52,30
20,-51,31
34,-52,39
30,-52,29
31,-53,24
39,-55,28
42,-55,18
36,-55,18
22,-52,31
19,-53,29
22,-53,29
2,-53,27
3,-54,31
-1,-52,25
-12,-53,19
-14,-54,26
-12,-55,27
