"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","BDS_modality","subject","key_press","designation","span","answer","correct","was_correct","spanHistory","max_span","total_correct","value"
"null","digits/two.wav","","audio-keyboard-response","102","372166","0.0-0.0-1.11-0.11-1.67-0.67","auditory","A02BED","null","","","","","","","","",""
"null","digits/five.wav","","audio-keyboard-response","103","373216","0.0-0.0-1.11-0.11-1.68-0.68","auditory","A02BED","null","","","","","","","","",""
"null","digits/four.wav","","audio-keyboard-response","104","374246","0.0-0.0-1.11-0.11-1.69-0.69","auditory","A02BED","null","","","","","","","","",""
"null","digits/nine.wav","","audio-keyboard-response","105","375176","0.0-0.0-1.11-0.11-1.70-0.70","auditory","A02BED","null","","","","","","","","",""
"null","digits/seven.wav","","audio-keyboard-response","106","376256","0.0-0.0-1.11-0.11-1.71-0.71","auditory","A02BED","null","","","","","","","","",""
"null","digits/eight.wav","","audio-keyboard-response","107","377136","0.0-0.0-1.11-0.11-1.72-0.72","auditory","A02BED","null","","","","","","","","",""
"null","digits/six.wav","","audio-keyboard-response","108","378186","0.0-0.0-1.11-0.11-1.73-0.73","auditory","A02BED","null","","","","","","","","",""
"null","digits/one.wav","","audio-keyboard-response","109","379316","0.0-0.0-1.11-0.11-1.74-0.74","auditory","A02BED","null","","","","","","","","",""
"null","digits/three.wav","","audio-keyboard-response","110","380336","0.0-0.0-1.11-0.11-1.75-0.75","auditory","A02BED","null","","","","","","","","",""
"21539","<div class = numbox><p>Wie lauteten die Zahlen <b>in umgekehrter Reihenfolge</b>?<br> Antwort mit Enter-Taste best&auml;tigen.</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">L&ouml;schen</button><p><u><b>Ihre Antwort:</b></u></p><div id=echoed_txt style=""font-size: 30px; color:blue;""><b></b></div></div>","","html-keyboard-response","111","402136","0.0-0.0-1.11-0.11-2.11","auditory","A02BED","13","BDS-RESPONSE","9","3,1,6,8,7,9,4,5,2","3,1,6,8,7,9,4,5,2","1","3,4,5,6,6,5,6,7,8,8,9,9","8","7",""
"","","","call-function","112","402136","0.0-0.0-1.11-0.11-3.11","auditory","A02BED","","","","","","","","","",""
